IdFournisseurs,NomEntreprise,Nom_Contact,Adresse,Telephone,Email,Mode_paiement
1,Novapole,Kwame Mensah,Lagos,1234567890,novapole@gmail.com,Carte de Crédit
2,Ma Maison Ma Vie,Fatima Diop,Le Caire,4567890123,mamaisonmavie@gmail.com,Virement Bancaire
3,Optimal Medical,Chukwu Emeka,Kinshasa,7890123456,optimalmedical@gmail.com,Mobile money
4,Eveil Plus,Abdoulaye Traoré,Johannesburg,2345678901,eveilplus@gmail.com,Carte de Crédit
5,Epsidrive,Nneka Okoro,Nairobi,5678901234,epsidrive@gmail.com,Virement Bancaire
6,Ivory Explore,Mohamed Kamara,Le Cap,8901234567,ivoryexplore@gmail.com,Espece
7,Naghadeff,Aisha Ibrahim,Casablanca,1234567890,naghadeff@gmail.com,Mobile money
8,Zoro App,Amara Sow,Accra,3456789012,zoroapp@gmail.com,Carte de Crédit
9,Hackathons,Musa Bello,Abidjan,6789012345,hackathons@gmail.com,Virement Bancaire
10,Tchep,Lola Adeyemi,Addis-Abeba,9012345678,tchep@gmail.com,Espece
11,Hakradjoh,Oluwaseun Adekunle,Lagos,2345678901,hakradjoh@gmail.com,Carte de Crédit
12,Pouess Robot,Nomusa Mhlongo,Le Caire,5678901234,pouessrobot@gmail.com,Virement Bancaire
13,Koumassi Code,Moussa Toure,Kinshasa,8901234567,koumassicode@gmail.com,Mobile money
14,Talent,Fatoumata Traoré,Johannesburg,9012345678,talent@gmail.com,Carte de Crédit
1,TechNova Solutions,Kwame Mensah,Lagos,1234567890,technova@gmail.com,Carte de Crédit
2,GreenTech Ventures,Fatima Diop,Le Caire,4567890123,greentech@gmail.com,Virement Bancaire
3,EcoEssence Foods,Chukwu Emeka,Kinshasa,7890123456,ecoessence@gmail.com,Mobile money
4,GlobeTrekker Logistics,Abdoulaye Traoré,Johannesburg,2345678901,globetrekker@gmail.com,Carte de Crédit
5,InnoPrint Solutions,Nneka Okoro,Nairobi,5678901234,innoprint@gmail.com,Virement Bancaire
6,BioMedic Supplies,Mohamed Kamara,Le Cap,8901234567,biomedic@gmail.com,Espece
7,ArtisanCraft Home,Aisha Ibrahim,Casablanca,1234567890,artisancraft@gmail.com,Mobile money
8,TechGear Emporium,Amara Sow,Accra,3456789012,techgear@gmail.com,Carte de Crédit
9,Nature's Best,Musa Bello,Abidjan,6789012345,naturesbest@gmail.com,Virement Bancaire
10,FashionFusion,Lola Adeyemi,Addis-Abeba,9012345678,fashionfusion@gmail.com,Espece
11,TechNova Solutions,Oluwaseun Adekunle,Lagos,2345678901,technova@gmail.com,Carte de Crédit
12,GreenTech Ventures,Nomusa Mhlongo,Le Caire,5678901234,greentech@gmail.com,Virement Bancaire
13,EcoEssence Foods,Moussa Toure,Kinshasa,8901234567,ecoessence@gmail.com,Mobile money
14,GlobeTrekker Logistics,Fatoumata Traoré,Johannesburg,9012345678,globetrekker@gmail.com,Carte de Crédit
15,InnoPrint Solutions,Obinna Okafor,Nairobi,1234567890,innoprint@gmail.com,Virement Bancaire
16,BioMedic Supplies,Chinwe Okonkwo,Le Cap,3456789012,biomedic@gmail.com,Espece
17,ArtisanCraft Home,Mohamed Ahmed,Casablanca,6789012345,artisancraft@gmail.com,Mobile money
18,TechGear Emporium,Mariam Ba,Accra,8901234567,techgear@gmail.com,Carte de Crédit
